date,open,high,low,close,volume
2011-01-03,38552.87109375,38876.76171875,38536.7109375,38605.80078125,124185400
2011-01-04,38605.80078125,38720.828125,38454.94140625,38542.16015625,131448400
2011-01-05,38542.16015625,38699.1015625,38322.140625,38696.23828125,144782600
2011-01-06,38696.23828125,38772.8984375,38516.30078125,38589.671875,145696400
2011-01-07,38597.8984375,38711.73828125,38346.37890625,38600.859375,144050600
2011-01-10,38608.6796875,38633.828125,38184.1015625,38378.16015625,155053400
2011-01-11,38380.76953125,38562.69921875,38005.9609375,38028.80859375,188106000
2011-01-12,38028.80859375,38347.3984375,37874.76171875,37963.30859375,172640200
2011-01-13,37963.30859375,38070.19140625,37896.51953125,38070.19140625,161397200
2011-01-14,38070.19140625,38158.26953125,37841.5703125,37994.71875,136612400
2011-01-17,37996.16015625,38213.05078125,37984.55078125,38096.91015625,52440600
2011-01-18,38095.6796875,38247.0703125,37953.859375,38151.30078125,195686400
2011-01-19,38160.390625,38357.66015625,37766.1796875,37810.16015625,144684600
2011-01-20,37815.140625,37815.140625,37361.3203125,37584.6796875,180803800
2011-01-21,37584.6796875,37731.05078125,37321.109375,37321.109375,148830800
2011-01-24,37322.3203125,37667.98828125,37214.6796875,37667.8984375,156290400
2011-01-25,37673.78125,37816.140625,37358.71875,37470.76171875,149678400
2011-01-26,37485.5703125,37647.9296875,37330.1015625,37585.3984375,166526200
2011-01-27,37585.3984375,37709.921875,37437.94140625,37447.69921875,157778200
2011-01-28,37445.7109375,37473.78125,36634.19921875,36839.71875,257168600
2011-01-31,36843.08984375,36982.23828125,36622.5703125,36982.23828125,183413000
2011-02-01,36983.5703125,37618.1015625,36983.5703125,37618.1015625,210831400
2011-02-02,37619.1796875,38014.87890625,37539.98046875,37948.75,199702200
2011-02-03,37901.4609375,37904.6484375,37667.44140625,37739.078125,200455400
2011-02-04,37754.26953125,37764.30078125,37451.83984375,37451.83984375,108142400
2011-02-08,37457.421875,37566.05078125,37301.1484375,37565.6484375,153034600
2011-02-09,37567.0,37570.359375,36910.76171875,36986.94140625,191621800
2011-02-10,36986.94140625,37018.1796875,36614.9609375,36652.12890625,226111400
2011-02-11,36648.44140625,37034.25,36523.73828125,37011.48828125,181228200
2011-02-14,37018.55859375,37082.8984375,36900.33984375,36998.9296875,154647400
2011-02-15,37000.1796875,37177.0,36835.1796875,36951.25,133573400
2011-02-16,36946.5,37179.5,36946.5,37074.9296875,153520600
2011-02-17,37074.9296875,37290.6484375,37024.53125,37226.4296875,154638200
2011-02-18,37228.26171875,37664.78125,37191.21875,37522.30078125,171699600
2011-02-21,37522.30078125,37550.37890625,37170.03125,37242.05078125,47497800
2011-02-22,37241.1484375,37253.01953125,36763.91015625,36781.55078125,226412800
2011-02-23,36808.12109375,36865.16015625,36325.94140625,36464.0703125,230524200
2011-02-24,36464.0703125,36633.0703125,36318.55078125,36446.55859375,187165600
2011-02-25,36449.98046875,36888.51171875,36445.1796875,36880.19921875,160198800
2011-02-28,36880.19921875,37199.62890625,36880.19921875,37019.69921875,249417400
2011-03-01,37019.69921875,37172.890625,36768.08984375,36768.08984375,152837400
2011-03-02,36768.08984375,36912.3515625,36689.83984375,36863.53125,151720600
2011-03-03,36889.46875,37217.2109375,36889.46875,37132.98046875,167830800
2011-03-04,37132.98046875,37231.98046875,36760.73046875,36900.83984375,117055800
2011-03-07,36901.78125,36945.26171875,36572.98046875,36603.30078125,132905800
2011-03-08,36603.30078125,36825.6796875,36557.75,36688.12109375,139264600
2011-03-09,36690.55859375,36690.55859375,36430.140625,36450.19140625,170581200
2011-03-10,36440.140625,36440.140625,35770.08984375,35891.41015625,166296200
2011-03-11,35888.4609375,36092.53125,35671.9296875,36091.21875,119473400
2011-03-14,36088.890625,36205.87890625,35809.3515625,36205.76171875,111235200
2011-03-15,36203.78125,36203.78125,35538.421875,36012.171875,145341200
2011-03-16,36010.8515625,36058.5390625,35559.94921875,35655.30859375,176076600
2011-03-17,35657.640625,36057.0390625,35540.58984375,35621.6796875,145754200
2011-03-18,35621.6796875,35827.05859375,35418.5,35418.5,295064200
2011-03-22,35445.30859375,35925.6484375,35358.87109375,35925.3515625,144543800
2011-03-23,35933.73046875,36546.62109375,35933.73046875,36546.62109375,172984200
2011-03-24,36544.76953125,36883.26171875,36539.12890625,36872.37890625,219732000
2011-03-25,36874.44140625,36949.73828125,36719.53125,36784.26953125,123681400
2011-03-28,36784.26953125,36900.98828125,36728.87890625,36767.859375,85112200
